id,keyword,reference1,reference2
1,African country ,15,
2,Agenda 21 ,16,
3,Change makers ,27,
4,Charter of the United Nations ,19,
5,Endowment ,16,
6,Ethical,,
7,Ethical impact ,3,
8,Ethical leadership ,2,
9,ethical practice ,25,
10,Food-energy-water nexus,,
11,Global sustainability ,3,
12,Good governance ,19,
13,Governance,,
14,Governance and policy,,
15,Governance and policy,,
16,Governance and risk,,
17,Governance and risk,,
18,Human well-being,,
19,Human well-being,,
20,Impact on SDGs ,3,
21,Impact on societies ,3,
22,Impact on society ,3,
23,Innovation,,
24,Integrated solutions ,19,
25,International support ,7,
26,Land locked developing country ,19,
27,Landlocked developing countries ,19,
28,Least developed countries ,19,
29,Least developed country ,19,
30,Leave no one behind,,
31,Less harm ,3,
32,LLDC,,
33,Long-term thinking ,20,
34,Middle-income countries ,19,
35,Monitoring sustainable development,,
36,Net-positive contributions ,3,
37,OECD ,20,
38,Organisation for Economic Co-operation and Development ,20,
39,Process innovation ,7,
40,Product innovation ,7,
41,Promotion of shared responsibilities,,
42,Public policy,,
43,purpose and sustainability ,26,
44,R&D investment,7,
45,Research and development,,
46,Research and development expenditure and investment ,20,
47,SDG Framework,,
48,SDG indicator ,19,
49,SDG progress Indicator ,19,
50,Social engagement ,2,
51,Social Engagment ,2,
52,Social finance ,2,
53,Social impact ,3,
54,Social license,2,8
55,Sustainability,,
56,Sustainable,,
57,Sustainable management,,
58,Sustainable practice,,
59,Sustainable resource use,,
60,sustainably minded ,25,
61,Technology for sustainable development,,
62,The Future We Want ,19,
63,The poorest and most vulnerable ,19,
64,Third World,,
65,Transparency,,
66,Welfare of environment and society ,4,